region,abbreviation,code,total cases,percentage cases,total vaccination,percentage vaccination 
alabama,Ala.,AL,813481,1.823126634,849541,0.210275828
alaska,Alaska,AK,122678,0.274938848,4742444,1.173835444
arizona,Ariz.,AZ,1129494,2.531356718,3168727,0.784313756
arkansas,Ark.,AR,506011,1.134042628,8602398,2.129239623
california,Calif.,CA,4784395,10.72250975,52985233,13.11474516
colorado,Colo.,CO,704839,1.579644458,7517784,1.860779235
connecticut,Conn.,CT,397123,0.890009131,5276862,1.306112976
delaware,Del.,DE,139380,0.312370406,1045370,0.258746831
district of columbia,D.C.,DC,62976,0.141138174,1272284,0.314911901
florida,Fla.,FL,3623046,8.119761442,27997140,6.929767701
georgia,Ga.,GA,1615699,3.621011282,11222100,2.777660365
hawaii,Hawaii,HI,79562,0.178309759,1951288,0.482976924
idaho,Idaho,ID,276080,0.618734551,1664702,0.412042021
illinois,Ill.,IL,1665777,3.733243204,15702093,3.886534729
indiana,Ind.,IN,996341,2.232941904,7060515,1.74759739
iowa,Iowa,IA,472331,1.058560957,3622282,0.896576322
kansas,Kans.,KS,423282,0.948635171,3251403,0.80477747
kentucky,Ky.,KY,723889,1.622338218,5206923,1.288801886
louisiana,La.,LA,751874,1.685056583,4767678,1.180081287
maine,Maine,ME,97677,0.218908051,1913254,0.473562863
maryland,Md.,MD,549679,1.231908827,8343034,2.065042627
massachusetts,Mass.,MA,833311,1.867568484,10204856,2.525875197
michigan,Mich.,MI,1219715,2.733554812,11140293,2.757411743
minnesota,Minn.,MN,755401,1.692961092,7018451,1.737185836
mississippi,Miss.,MS,497790,1.115618198,2929949,0.725212145
missouri,Mo.,MO,840479,1.883632992,6629366,1.640880689
montana,Mont.,MT,164669,0.369046652,1154718,0.285812319
nebraska,Nebr.,NE,276355,0.619350865,2282268,0.564900096
nevada,Nev.,NV,441021,0.988390794,3558077,0.880684494
new hampshire,N.H.,NH,128047,0.286971541,1876019,0.464346568
new jersey,N.J.,NJ,1178936,2.642163272,12032967,2.978363721
new mexico,N.M.,NM,263755,0.591112473,2932485,0.725839848
new york,N.Y.,NY,2523298,5.655069742,27062928,6.698534363
north carolina,N.C.,NC,1446881,3.242666131,12041740,2.980535188
north dakota,N.D.,ND,140746,0.315431806,792041,0.196043601
ohio,Ohio,OH,1490451,3.340312699,12671838,3.136495145
oklahoma,Okla.,OK,633020,1.418687863,4375374,1.082979384
oregon,Ore.,OR,348766,0.781634216,5496828,1.360558298
pennsylvania,Pa.,PA,1502124,3.366473552,17146754,4.244112865
rhode island,R.I.,RI,176405,0.395348698,1527156,0.37799705
south carolina,S.C.,SC,883621,1.980320351,5573990,1.379657203
south dakota,S.D.,SD,149996,0.336162372,999693,0.247440998
tennessee,Tenn.,TN,1263068,2.830715052,7276374,1.801026159
texas,Tex.,TX,4156151,9.314525578,33712900,8.344515388
utah,Utah,UT,529147,1.185893695,3633463,0.899343809
vermont,Vt.,VT,33812,0.075777502,949114,0.234921836
virginia,Va.,VA,904297,2.026658208,11449069,2.833839048
washington,Wash.,WA,695016,1.557629718,10080829,2.495176408
west virginia,W.Va.,WV,258413,0.579140291,1585187,0.392360708
wisconsin,Wis.,WI,852662,1.910936828,7159648,1.772134492
wyoming,Wyo.,WY,97137,0.217697834,555247,0.137433064
